Manche;Nom;Vie;Dégâts;Vitesse
1;Giant 12;206,50;36,29;1,05
1;Giant 17;189,26;29,43;1,33
1;Giant 10;186,23;31,01;1,46
1;Giant 13;189,26;34,49;1,15
1;Giant 4;209,34;31,34;1,40
1;Giant 15;203,48;31,23;0,99
1;Giant 6;201,49;31,00;0,88
1;Giant 16;203,54;33,27;1,27
1;Giant 19;220,04;31,94;0,97
1;Giant 2;209,71;36,43;1,41
1;GiantEnfant;215,00;32,25;0,99
1;GiantEnfant;191,23;29,93;0,94
1;GiantEnfant;210,03;32,38;1,47
1;GiantEnfant;202,66;31,34;0,90
1;GiantEnfant;225,51;32,02;1,49
1;GiantEnfant;217,07;33,67;0,93
1;GiantEnfant;199,10;33,52;1,39
1;GiantEnfant;218,91;34,51;1,05
1;GiantEnfant;211,10;36,23;0,95
1;GiantEnfant;223,68;33,90;1,27
2;Giant 12;200,43;36,12;1,09
2;GiantEnfant;211,55;30,95;0,87
2;GiantEnfant;189,01;30,68;0,94
2;Giant 13;183,53;33,76;1,20
2;GiantEnfant;209,27;35,83;0,92
2;GiantEnfant;216,68;32,23;0,95
2;GiantEnfant;217,72;35,65;1,09
2;Giant 10;182,50;32,42;1,43
2;GiantEnfant;220,13;33,79;1,48
2;Giant 17;192,36;28,44;1,32
2;GiantEnfant;212,83;35,41;0,99
2;GiantEnfant;189,59;28,70;0,92
2;GiantEnfant;179,99;33,01;1,15
2;GiantEnfant;191,00;32,52;1,53
2;GiantEnfant;214,60;32,43;1,41
2;GiantEnfant;213,13;36,08;0,89
2;GiantEnfant;208,30;37,24;0,97
2;GiantEnfant;190,24;35,11;0,97
2;GiantEnfant;214,09;32,74;1,04
2;GiantEnfant;194,97;32,81;0,88
3;GiantEnfant;192,95;28,62;0,89
3;GiantEnfant;212,53;37,28;0,86
3;GiantEnfant;211,18;35,54;0,91
3;GiantEnfant;207,74;36,27;0,98
3;Giant 12;206,86;37,38;1,05
3;GiantEnfant;216,02;29,71;0,87
3;GiantEnfant;193,82;36,24;1,01
3;GiantEnfant;200,06;31,23;1,50
3;GiantEnfant;198,12;31,88;0,95
3;GiantEnfant;180,44;31,88;1,15
3;GiantEnfant;209,46;34,12;1,11
3;GiantEnfant;171,47;31,80;1,20
3;GiantEnfant;202,89;37,34;0,93
3;GiantEnfant;210,22;34,87;1,02
3;GiantEnfant;197,47;27,90;0,92
3;GiantEnfant;195,02;34,13;1,60
3;GiantEnfant;212,53;35,86;0,92
3;GiantEnfant;199,79;31,25;1,50
3;GiantEnfant;204,36;37,05;1,08
3;GiantEnfant;207,49;35,98;0,88
4;GiantEnfant;193,99;31,42;1,50
4;GiantEnfant;197,00;36,18;0,93
4;GiantEnfant;205,22;35,35;1,12
4;GiantEnfant;212,48;38,19;0,89
4;GiantEnfant;201,70;37,01;0,92
