Manche;Giant;Ninja;Druide;Berserker
1;5;8;4;3
2;7;8;3;2
3;5;9;5;1
4;5;10;2;3
5;4;12;2;2
6;4;12;3;1
7;3;13;3;1
8;3;13;3;1
9;5;13;1;1
10;3;13;3;1
11;4;14;1;1
12;2;16;2;0
13;2;16;2;0
14;2;16;2;0
15;2;16;2;0
16;3;16;1;0
17;2;16;2;0
18;2;17;1;0
19;2;17;1;0
20;2;17;1;0
21;2;17;1;0
22;2;17;1;0
23;2;17;1;0
24;2;17;1;0
25;2;17;1;0
26;2;17;1;0
27;2;17;1;0
28;2;17;1;0
29;2;17;1;0
30;2;17;1;0
31;2;17;1;0
32;2;17;1;0
33;2;17;1;0
34;2;17;1;0
35;2;17;1;0
36;2;17;1;0
37;2;17;1;0
38;2;17;1;0
39;2;17;1;0
40;2;17;1;0
41;2;17;1;0
42;2;17;1;0
43;2;17;1;0
44;2;17;1;0
45;2;17;1;0
46;2;17;1;0
47;2;17;1;0
48;2;17;1;0
49;2;17;1;0
50;2;17;1;0
